tx_id,user_id,date,region,merchant,amount,label
200001,U2240,2024-01-01,South,StoreB,108.0,0
200002,U2274,2024-01-01,South,CafeX,102.41,0
200003,U2379,2024-01-01,West,Pharmacy,87.3,0
200004,U2211,2024-01-01,North,StoreB,73.65,0
200005,U2010,2024-01-01,South,TravelCo,83.27,0
200006,U2200,2024-01-01,South,RideShare,5,0
200007,U2370,2024-01-01,North,CafeX,83.68,0
200008,U2182,2024-01-01,South,Electronics,134.88,0
200009,U2015,2024-01-01,South,RideShare,122.76,0
200010,U2407,2024-01-01,East,RideShare,101.7,0
200011,U2169,2024-01-01,East,OnlineShop,47.73,0
200012,U2171,2024-01-01,West,TravelCo,42.78,0
200013,U2492,2024-01-01,East,CafeX,89.08,0
200014,U2286,2024-01-01,East,StoreB,150.95,0
200015,U2088,2024-01-01,North,Electronics,109.63,0
200016,U2145,2024-01-01,South,StoreB,175.46,0
200017,U2232,2024-01-01,North,Pharmacy,83.23,0
200018,U2365,2024-01-01,North,StoreB,113.09,0
200019,U2491,2024-01-01,South,Grocery,85.54,0
200020,U2029,2024-01-01,East,TravelCo,112.42,0
200021,U2313,2024-01-01,West,CafeX,5,0
200022,U2408,2024-01-01,West,StoreA,74.09,0
200023,U2130,2024-01-01,South,StoreA,5,0
200024,U2049,2024-01-01,East,Grocery,75.61,0
200025,U2090,2024-01-01,North,RideShare,96.6,0
200026,U2403,2024-01-01,East,CafeX,68.85,0
200027,U2283,2024-01-01,West,RideShare,5,0
200028,U2268,2024-01-01,West,OnlineShop,91.56,0
200029,U2367,2024-01-01,East,RideShare,88.72,0
200030,U2482,2024-01-01,West,CafeX,29.73,0
200031,U2021,2024-01-01,South,RideShare,85.18,0
200032,U2194,2024-01-01,South,Electronics,49.95,0
200033,U2455,2024-01-01,East,StoreA,54.88,0
200034,U2016,2024-01-01,East,OnlineShop,9.41,0
200035,U2274,2024-01-01,West,StoreA,97.15,0
200036,U2418,2024-01-01,South,RideShare,157.58,0
200037,U2109,2024-01-01,North,RideShare,51.65,0
200038,U2033,2024-01-01,West,Grocery,107.76,0
200039,U2231,2024-01-01,North,StoreB,107.03,0
200040,U2247,2024-01-01,West,StoreA,54.09,0
200041,U2000,2024-01-01,South,OnlineShop,63.21,0
200042,U2206,2024-01-01,South,RideShare,109.3,0
200043,U2309,2024-01-01,North,RideShare,114.26,0
200044,U2010,2024-01-01,West,OnlineShop,125.21,0
